tf,rapida,lenta,modo,toques,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,acerto_neutro,"sh_tr|0,60 pts (pedido)","sh_ho|0,60 pts (pedido)","ret_ho|0,60 pts (pedido)","usd_ho|0,60 pts (pedido)","sh_tr|15,82 pts medidos (0,0145%)","sh_ho|15,82 pts medidos (0,0145%)","ret_ho|15,82 pts medidos (0,0145%)","usd_ho|15,82 pts medidos (0,0145%)",sh_tr|30 pts (folga slippage),sh_ho|30 pts (folga slippage),ret_ho|30 pts (folga slippage),usd_ho|30 pts (folga slippage)
5,10,30,0,1,1.3333333333333333,0.015,836.7230277257128,1115.6307036342835,2288,746,0.3967828418230563,0.4285714285714286,-0.020592077492052392,-0.06565939590659856,-0.8392646699351887,-684.7910235000004,-0.02840869482332362,-0.073416894672871,-0.9384420191276717,-743.0923325398156,-0.03595289133663889,-0.0810211363804987,-1.0356422613040535,-799.3617536639986
5,10,30,0,1,2.0,0.015,836.7230277257128,1673.4460554514255,1829,586,0.31399317406143346,0.3333333333333333,-0.05093187864188824,-0.04223781692315712,-0.5173684939667051,-493.46674050000007,-0.057407975748929314,-0.04858986422178995,-0.5951836772236127,-538.4179369053769,-0.06366675663045358,-0.05482320411319125,-0.6715366824720844,-581.86072104117
5,10,30,0,1,0.2,0.025,1394.5383795428547,278.907675908571,3571,1315,0.8365019011406845,0.8333333333333334,-0.012686399043715707,0.007445739741346798,0.10867086478411656,51.12405950000051,-0.024636572210327015,-0.0045327039465225885,-0.0661544975239769,-51.97359981636127,-0.03616764828354044,-0.0162722756096039,-0.23749272602523952,-151.45558522129187
5,10,30,0,1,0.25,0.025,1394.5383795428547,348.6345948857137,3189,1121,0.7894736842105263,0.8,-0.02104682177331282,-0.026788315673103306,-0.38274974967753295,-270.67776499999997,-0.03168566484291796,-0.03721330790572929,-0.5317037579653069,-358.39469593803295,-0.04195282136592365,-0.04743593876471819,-0.6777647116914787,-443.04708283444893
5,10,30,0,1,0.3333333333333333,0.025,1394.5383795428547,464.8461265142849,2727,922,0.7407809110629068,0.75,-0.024308881505293634,-0.02188023118547113,-0.29483209773396135,-178.30588250000028,-0.03353824086593486,-0.030973240170410823,-0.4173595285554686,-250.577916365201,-0.04244404512404696,-0.03988853577253351,-0.537491731352552,-320.31629817357924
5,10,30,0,1,0.5,0.025,1394.5383795428547,697.2691897714274,2199,718,0.6615598885793872,0.6666666666666666,-0.020696794954833304,-0.01148668705368847,-0.14644480723856465,-208.42317749999998,-0.028278704598453726,-0.018971488184615918,-0.24187180929446112,-264.4794453272684,-0.03559690189934598,-0.02630934292296976,-0.3354237850084585,-318.5859761610649
5,10,30,0,1,0.75,0.025,1394.5383795428547,1045.9037846571412,1734,544,0.5257352941176471,0.5714285714285714,-0.013109537323909529,-0.09200201672004163,-1.0943594905540797,-911.637345625,-0.019327228486029233,-0.0980716438708833,-1.166578362473798,-953.6735303512934,-0.025333093671432164,-0.10403041846240864,-1.237458968028692,-994.2776150174643
5,10,30,0,1,1.0,0.025,1394.5383795428547,1394.5383795428547,1431,459,0.5032679738562091,0.5,-0.013693337507071301,0.006024141016215079,0.06920001249112517,-166.89449499999986,-0.019087024318485867,0.0007205914017961512,0.008277631662732488,-202.31403402609584,-0.024297471490124466,-0.004485648585325962,-0.051527879274209376,-236.53026559310126
5,10,30,0,1,1.3333333333333333,0.025,1394.5383795428547,1859.3845060571396,1169,365,0.4301369863013699,0.4285714285714286,-0.03511028901695198,0.0027285091453426863,0.028801677227885236,-86.33117000000016,-0.03981359532105867,-0.0018686057485166883,-0.019724759135299502,-115.06418614074911,-0.044350646154987475,-0.006373943516964089,-0.06728251837709553,-142.7815293060982
5,10,30,0,1,2.0,0.025,1394.5383795428547,2789.0767590857095,891,267,0.3146067415730337,0.3333333333333333,-0.041373042547762966,-0.04060949601699483,-0.3783193244437841,-492.33532,-0.04525047697719862,-0.044418326551951985,-0.41381235805239697,-513.3628473226986,-0.048990734375599164,-0.04815253465678582,-0.4486011846758473,-533.6464565158633
5,10,30,0,2,0.2,0.002,111.56307036342837,22.312614072685676,5918,2553,0.7461809635722679,0.8333333333333334,-0.27951696258391673,-0.21268759434815618,-0.5672169219400938,-310.08154804000003,-0.4033661497207279,-0.3393695681049114,-0.9051159180066264,-504.37580861434475,-0.5231283102302875,-0.46409299278370203,-1.2377596422375974,-692.2583531746614
5,10,30,0,2,0.25,0.002,111.56307036342837,27.89076759085709,5907,2545,0.7218074656188606,0.8,-0.2521986044136418,-0.18605619295342812,-0.5305775715699195,-283.99407295000003,-0.3684571746745902,-0.3041931276811798,-0.8674530009114236,-477.8577740678284,-0.48087165394581444,-0.4204770709739234,-1.199054363295999,-665.3113696336189
5,10,30,0,2,0.3333333333333333,0.002,111.56307036342837,37.187690121142786,5888,2534,0.6890292028413575,0.75,-0.20373913363636523,-0.14220681419912107,-0.4448954209021314,-235.5885395333334,-0.3102049174481821,-0.24943189383988268,-0.7803539899055199,-428.8135029776007,-0.41314266059388977,-0.3549666373496815,-1.1105221047513014,-615.6354183783407
5,10,30,0,2,0.5,0.002,111.56307036342837,55.78153518171418,5851,2506,0.6213088587390263,0.6666666666666666,-0.13803688883755316,-0.10236812722172935,-0.3733556262024932,-208.13395500000001,-0.22985417747855602,-0.1933653086700465,-0.7052837800723093,-400.0806498102896,-0.318599937749334,-0.282886169709952,-1.0318036284557068,-585.6062258159726
5,10,30,0,2,0.75,0.002,111.56307036342837,83.67230277257129,5789,2470,0.5396761133603238,0.5714285714285714,-0.08289011336662445,-0.07106705386250947,-0.30626343392811073,-173.17342535,-0.16009966530427816,-0.14700430727725217,-0.6335506531438964,-362.895789004853,-0.2347111234295796,-0.2216791281836432,-0.955379873218514,-546.2340138231725
5,10,30,0,2,1.0,0.002,111.56307036342837,111.56307036342837,5728,2444,0.4795417348608838,0.5,-0.06261655749502314,-0.04736193335960836,-0.23134397899593134,-137.3602818,-0.13014709632382812,-0.11367079754564804,-0.5552711725844868,-325.44958841492723,-0.1953960883292451,-0.17885967475326606,-0.8737127166583193,-507.1842210192047
5,10,30,0,2,1.3333333333333333,0.002,111.56307036342837,148.75076048457115,5677,2405,0.41081081081081083,0.4285714285714286,-0.03568698744182793,-0.04166504796604213,-0.23010267310818405,-121.64836746666674,-0.09437231596287808,-0.09939411260855,-0.5489352850787064,-307.04358815334126,-0.15106813829688054,-0.1561333002007527,-0.8622953151513604,-486.1536785033437
5,10,30,0,2,2.0,0.002,111.56307036342837,223.12614072685673,5562,2340,0.31324786324786325,0.3333333333333333,-0.008672945693847274,-0.047866763423349855,-0.31178050407157243,-146.8383162,-0.05644696391947724,-0.0955197947277444,-0.6221532503468492,-327.804489586694,-0.10259067077120256,-0.14232998247760478,-0.9270440904175399,-502.5951051760313
5,10,30,0,2,0.2,0.004,223.12614072685673,44.62522814537135,5663,2388,0.7981574539363484,0.8333333333333334,-0.1020558017594225,-0.09432992563213619,-0.4340426706373396,-255.04312248,-0.17151929585604714,-0.16305555175481704,-0.7503307529180665,-437.7024694563835,-0.23866570728930195,-0.23067096172083928,-1.0614757640671297,-614.2688778081606
5,10,30,0,2,0.25,0.004,223.12614072685673,55.78153518171418,5617,2355,0.7681528662420383,0.8,-0.07954624071796346,-0.08156712404445984,-0.4053694754447825,-249.2759871,-0.1434673795874386,-0.14432561298187047,-0.717333719900354,-429.6916186716553,-0.2052493245426637,-0.20606205481220538,-1.024178988433036,-604.0694350867043
