rapida,lenta,modo,stop_pct,razao,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,50,0,0.015,0.75,0.01125,1046.7333060836786,785.0499795627588,374,-0.2193314567858236,-1.0698999999999996,0.5614973262032086,91,-0.3281651910723059,-0.39409999999999995,0.5054945054945055
10,50,0,0.015,1.0,0.015,1046.7333060836786,1046.7333060836786,305,-0.14365171893526213,-0.6579999999999997,0.5147540983606558,70,-0.22919851773508587,-0.24199999999999985,0.4714285714285714
10,50,0,0.015,1.3333333333333333,0.019999999999999997,1046.7333060836786,1395.6444081115712,228,-0.23012015525684507,-0.8978,0.39035087719298245,53,-0.09954949220890172,-0.09279999999999997,0.4528301886792453
10,50,0,0.015,2.0,0.03,1046.7333060836786,2093.466612167357,153,-0.10782756117889424,-0.3527999999999998,0.33986928104575165,39,-0.12098362301169946,-0.10139999999999993,0.3333333333333333
10,50,0,0.015,3.0,0.045,1046.7333060836786,3140.1999182510353,114,-0.3086079716714579,-0.8064000000000001,0.17543859649122806,28,-0.18917455692299895,-0.13279999999999997,0.21428571428571427
10,50,0,0.025,0.75,0.018750000000000003,1744.5555101394643,1308.4166326045984,164,-0.07989498915445961,-0.28264999999999957,0.5914634146341463,34,0.03340062036214657,0.024100000000000107,0.6470588235294118
10,50,0,0.025,1.0,0.025,1744.5555101394643,1744.5555101394643,116,-0.137966607892155,-0.40159999999999996,0.4827586206896552,27,0.007021659611780167,0.004800000000000054,0.5555555555555556
10,50,0,0.025,1.3333333333333333,0.03333333333333333,1744.5555101394643,2326.0740135192855,88,-0.1772067946637136,-0.4454666666666667,0.38636363636363635,21,0.005955098946550244,0.0037333333333333524,0.47619047619047616
10,50,0,0.025,2.0,0.05,1744.5555101394643,3489.1110202789287,62,-0.2919840074847573,-0.5861999999999998,0.24193548387096775,12,-0.2609078168412915,-0.10620000000000002,0.25
10,50,0,0.025,3.0,0.07500000000000001,1744.5555101394643,5233.666530418393,48,-0.16487413593937159,-0.3248,0.20833333333333334,9,-0.4946666666666665,-0.14839999999999998,0.1111111111111111
10,50,0,0.04,0.75,0.03,2791.288816223143,2093.466612167357,67,-0.11243663777350282,-0.2642,0.5522388059701493,8,0.031743015729748324,0.009200000000000007,0.625
10,50,0,0.04,1.0,0.04,2791.288816223143,2791.288816223143,55,-0.11863029864842708,-0.263,0.4727272727272727,7,0.07282868842113568,0.021800000000000014,0.5714285714285714
10,50,0,0.04,1.3333333333333333,0.05333333333333333,2791.288816223143,3721.718421630857,38,-0.2377857164139871,-0.4054666666666667,0.34210526315789475,3,-0.21320720655074038,-0.034466666666666666,0.3333333333333333
10,50,0,0.04,2.0,0.08,2791.288816223143,5582.577632446286,32,-0.09024713543678524,-0.1632,0.3125,3,-0.03752776749732568,-0.007800000000000001,0.3333333333333333
10,50,0,0.04,3.0,0.12,2791.288816223143,8373.866448669429,20,-0.5401348532748301,-0.532,0.1,1,0.0,-0.0426,0.0
10,50,1,0.002,0.75,0.0015,139.56444081115714,104.67333060836786,2123,-1.4833080465979636,-5.4363,0.0,763,-1.4474280146458463,-1.8893,0.0
10,50,1,0.002,1.0,0.002,139.56444081115714,139.56444081115714,1991,-1.2571886388402844,-5.0026,0.0,712,-1.1846612523601674,-1.6751999999999998,0.0
10,50,1,0.002,1.3333333333333333,0.0026666666666666666,139.56444081115714,186.08592108154284,1852,-1.059140907804396,-4.561866666666667,0.45788336933045354,648,-0.9893526035871559,-1.4968000000000001,0.49074074074074076
10,50,1,0.002,2.0,0.004,139.56444081115714,279.1288816223143,1652,-0.8387004835323097,-3.9992,0.36319612590799033,552,-0.7134055502479306,-1.1652,0.4148550724637681
10,50,1,0.002,3.0,0.006,139.56444081115714,418.69332243347145,1464,-0.6626839646618704,-3.4783999999999997,0.2780054644808743,456,-0.5286976522926498,-0.9055999999999998,0.3267543859649123
10,50,1,0.004,0.75,0.003,279.1288816223143,209.34666121673573,1427,-0.7146215315843804,-3.5101999999999998,0.5914505956552207,477,-0.670738467782211,-1.0902,0.6163522012578616
10,50,1,0.004,1.0,0.004,279.1288816223143,279.1288816223143,1281,-0.5877151756108207,-3.0066,0.531615925058548,408,-0.5539525844643236,-0.9008000000000003,0.5490196078431373
10,50,1,0.004,1.3333333333333333,0.005333333333333333,279.1288816223143,372.17184216308567,1130,-0.49344256467706726,-2.595333333333333,0.46106194690265484,354,-0.44208523475171163,-0.7310666666666665,0.4858757062146893
