rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,100,1,1.3333333333333333,0.04,0.05333333333333333,2231.2633457536103,2975.0177943381473,615,-0.1287168997288404,-3.612333333333334,0.3934959349593496,164,-0.047287367223567314,-0.35973333333333346,0.4329268292682927
10,100,1,2.0,0.04,0.08,2231.2633457536103,4462.526691507221,440,-0.08905007615066014,-2.1839999999999993,0.31363636363636366,107,0.03874081004151332,0.2418000000000001,0.37383177570093457
10,100,1,3.0,0.04,0.12,2231.2633457536103,6693.790037260831,316,-0.04495629607794598,-0.9816000000000003,0.2468354430379747,69,0.020250982874886143,0.1006,0.2753623188405797
10,100,1,0.75,0.06,0.045,3346.8950186304155,2510.1712639728116,494,-0.15588930708126725,-4.044400000000001,0.5182186234817814,133,-0.07980838505081074,-0.5558000000000002,0.556390977443609
10,100,1,1.0,0.06,0.06,3346.8950186304155,3346.8950186304155,399,-0.11617683007754373,-2.7773999999999996,0.46365914786967416,101,0.04573032240328378,0.27740000000000015,0.5445544554455446
10,100,1,1.3333333333333333,0.06,0.07999999999999999,3346.8950186304155,4462.526691507221,292,-0.11609213778669324,-2.3192000000000026,0.3904109589041096,68,-0.07135394360785599,-0.3368000000000006,0.4117647058823529
10,100,1,2.0,0.06,0.12,3346.8950186304155,6693.790037260831,225,-0.1720818268671763,-3.1050000000000004,0.27111111111111114,49,-0.0017445456709589491,-0.007400000000000198,0.3469387755102041
10,100,1,3.0,0.06,0.18,3346.8950186304155,10040.685055891247,145,-0.028966961414647302,-0.4369999999999999,0.2482758620689655,28,0.054083888213457,0.16719999999999996,0.2857142857142857
10,200,0,0.75,0.008,0.006,446.2526691507221,334.6895018630416,6907,-0.3519952607466764,-16.7802,0.5836108295931663,2442,-0.3904198689241423,-6.621199999999999,0.5634725634725635
10,200,0,1.0,0.008,0.008,446.2526691507221,446.2526691507221,6087,-0.30646348698297055,-14.922199999999997,0.5092820765565961,2105,-0.3492475853766365,-5.8809999999999985,0.4878859857482185
10,200,0,1.3333333333333333,0.008,0.010666666666666666,446.2526691507221,595.0035588676294,5392,-0.26700355580932156,-13.325866666666666,0.435459940652819,1829,-0.2997008182105705,-5.0514,0.419901585565883
10,200,0,2.0,0.008,0.016,446.2526691507221,892.5053383014442,4476,-0.2150194385261618,-10.941599999999998,0.3398123324396783,1471,-0.2667139750857359,-4.384599999999999,0.3174711080897349
10,200,0,3.0,0.008,0.024,446.2526691507221,1338.7580074521663,3654,-0.17131863424581614,-8.748399999999997,0.25643130815544607,1152,-0.19873997517066158,-3.155199999999999,0.2456597222222222
10,200,0,0.75,0.015,0.01125,836.7237546576039,627.5428159932029,3585,-0.1702813985196005,-7.892249999999997,0.5866108786610879,1182,-0.21570220246220342,-3.320699999999999,0.5634517766497462
10,200,0,1.0,0.015,0.015,836.7237546576039,836.7237546576039,3032,-0.16144473458239064,-7.343199999999998,0.5059366754617414,986,-0.18948931339146385,-2.8035999999999994,0.4918864097363083
10,200,0,1.3333333333333333,0.015,0.019999999999999997,836.7237546576039,1115.6316728768052,2571,-0.12918303057162667,-5.769599999999999,0.4387397899649942,823,-0.1795863629242248,-2.5498000000000003,0.41433778857837184
